tp_variant,trade_number,equity,return,timestamp
midpoint,69,9036.382153488179,0.00027540235438381375,2025-07-09 18:10:00+00:00
midpoint,70,9025.018032979808,-0.0012575962719753252,2025-07-11 13:50:00+00:00
midpoint,71,9020.185438174596,-0.0005354664985213418,2025-07-14 13:50:00+00:00
midpoint,72,9020.447724227737,2.9077678606248715e-05,2025-07-15 14:10:00+00:00
midpoint,73,8990.629002288146,-0.0033056809208596104,2025-07-16 15:15:00+00:00
midpoint,74,8982.65624771998,-0.00088678495866481,2025-07-24 13:55:00+00:00
midpoint,75,8984.359941706009,0.00018966483176516852,2025-07-28 14:50:00+00:00
midpoint,76,8984.720109593964,4.0088319066966695e-05,2025-07-30 13:50:00+00:00
midpoint,77,8978.62243384997,-0.0006786717526662487,2025-08-05 14:05:00+00:00
midpoint,78,8972.553519608175,-0.000675929329527891,2025-08-06 14:25:00+00:00
midpoint,79,8968.102149872051,-0.0004961095775462219,2025-08-07 13:55:00+00:00
midpoint,80,8971.69387835524,0.0004005003983189372,2025-08-11 17:35:00+00:00
midpoint,81,8941.604632737059,-0.0033537976246350797,2025-08-12 14:00:00+00:00
midpoint,82,8936.49385519455,-0.0005715727492351606,2025-08-13 13:55:00+00:00
midpoint,83,8943.482241100148,0.0007820053388762684,2025-08-14 15:25:00+00:00
midpoint,84,8943.703339979835,2.4721788865567253e-05,2025-08-18 14:20:00+00:00
midpoint,85,8925.721210988435,-0.0020105909496144435,2025-08-21 14:10:00+00:00
midpoint,86,8920.117458480747,-0.0006278206965269149,2025-08-26 13:55:00+00:00
midpoint,87,8894.60395219451,-0.002860220888905607,2025-08-27 14:20:00+00:00
midpoint,88,8903.354643510425,0.0009838202311140743,2025-08-28 14:40:00+00:00
midpoint,89,8887.837820751445,-0.0017428063219170563,2025-09-03 14:05:00+00:00
midpoint,90,8892.45678095374,0.0005196944741172384,2025-09-04 14:30:00+00:00
midpoint,91,8889.43677869892,-0.00033961393675687715,2025-09-09 14:15:00+00:00
midpoint,92,8884.889987345805,-0.000511482500669924,2025-09-10 14:05:00+00:00
midpoint,93,8882.784708434894,-0.0002369504759102357,2025-09-11 13:50:00+00:00
midpoint,94,8869.162094331889,-0.0015335972389457718,2025-09-18 14:00:00+00:00
midpoint,95,8863.052861588496,-0.0006888173514493443,2025-09-19 14:45:00+00:00
midpoint,96,8847.543037205101,-0.001749941541092781,2025-09-26 14:10:00+00:00
midpoint,97,8847.801441628002,2.9206348227206637e-05,2025-09-29 15:15:00+00:00
midpoint,98,8829.632408217392,-0.002053508267616322,2025-09-30 14:50:00+00:00
midpoint,99,8830.340367388346,8.017991443163303e-05,2025-10-01 13:55:00+00:00
midpoint,100,8826.018186709733,-0.000489469318144886,2025-10-03 13:55:00+00:00
midpoint,101,8824.441085980656,-0.0001786876817737813,2025-10-06 15:05:00+00:00
midpoint,102,8819.101364645972,-0.0006051058965270915,2025-10-07 14:10:00+00:00
midpoint,103,8765.646906253758,-0.00606121374299009,2025-10-10 15:00:00+00:00
midpoint,104,8767.703619823134,0.00023463340371485692,2025-10-13 14:50:00+00:00
midpoint,105,8758.676502425124,-0.0010295874255603853,2025-10-15 13:55:00+00:00
midpoint,106,8747.872697531717,-0.0012334974228600747,2025-10-16 13:50:00+00:00
midpoint,107,8742.473536447393,-0.000617197034182748,2025-10-17 15:15:00+00:00
midpoint,108,8735.400934881969,-0.0008089931912218738,2025-10-21 14:55:00+00:00
midpoint,109,8741.645461752649,0.0007148529205733613,2025-10-22 14:10:00+00:00
midpoint,110,8739.119061806334,-0.0002890073679341574,2025-10-28 14:00:00+00:00
midpoint,111,8731.021030318514,-0.0009266416249220864,2025-10-29 14:50:00+00:00
midpoint,112,8749.768546302828,0.0021472306525449404,2025-10-30 14:20:00+00:00
midpoint,113,8740.882783110485,-0.0010155426563938307,2025-10-31 14:50:00+00:00
midpoint,114,8757.180877992014,0.0018645822494063103,2025-11-04 17:05:00+00:00
midpoint,115,8745.06341196517,-0.0013837176821707375,2025-11-10 15:55:00+00:00
midpoint,116,8738.749951213284,-0.0007219456800333866,2025-11-11 15:00:00+00:00
midpoint,117,8749.26072149526,0.0012027773240630203,2025-11-17 15:05:00+00:00
midpoint,118,8705.858716234687,-0.0049606482927115,2025-11-18 17:25:00+00:00
midpoint,119,8726.669325701816,0.002390414334237012,2025-11-19 16:25:00+00:00
midpoint,120,8712.972239316698,-0.0015695663344063248,2025-11-20 16:00:00+00:00
midpoint,121,8717.64575138116,0.0005363855107185291,2025-11-21 14:50:00+00:00
midpoint,122,8698.048542710467,-0.0022479932345941477,2025-11-25 15:45:00+00:00
midpoint,123,8672.92364684631,-0.0028885669861217433,2025-11-26 15:00:00+00:00
midpoint,124,8673.41119693652,5.621519455998331e-05,2025-11-28 16:30:00+00:00
midpoint,125,8613.466239684005,-0.006911347322457039,2025-12-01 17:00:00+00:00
midpoint,126,8609.01162981986,-0.0005171680877579463,2025-12-02 16:15:00+00:00
midpoint,127,8554.008751390207,-0.00638898874745799,2025-12-03 19:50:00+00:00
midpoint,128,8551.342409967327,-0.0003117066512760223,2025-12-04 15:40:00+00:00
midpoint,129,8550.587503545341,-8.8279288302817e-05,2025-12-05 16:10:00+00:00
