session_id,session,session_date,side,breakout_time,breakout_side,reentry_time,confirmation_time,entry_time,entry_price,entry_reason,stop,tp_midpoint,tp_opposite_extreme,or_high,or_low,or_mid,or_size,daily_atr,daily_atr_pct,or_size_vs_daily_atr,or_size_vs_atr,gap_pct,opening_range_volume,opening_volume_vs_avg,invalid_signal_reason,tp_variant,tp,entry_fill,exit_time,exit_price,exit_fill,exit_reason,return,pnl_pct,rr,fee_rate,slippage_rate,bars_in_trade
ny_equity_2025-11-04,ny_equity,2025-11-04,short,2025-11-04 14:45:00+00:00,above,2025-11-04 16:05:00+00:00,2025-11-04 16:05:00+00:00,2025-11-04 16:10:00+00:00,624.21,breakout_reentry_v1,626.3885946428571,622.79935,621.3687,624.23,621.3687,622.79935,2.8613000000000284,8.634378571428556,0.013660262263366276,0.3313845896759918,0.3313845896759918,-0.013922288317934546,5647917.0,1.3604536495506372,,midpoint,622.79935,624.1475790000001,2025-11-04 17:05:00+00:00,622.79935,622.861629935,take_profit,0.0018645822494063103,0.0018645822494063103,0.5582213234251198,0.0001,0.0001,12
ny_equity_2025-11-04,ny_equity,2025-11-04,short,2025-11-04 14:45:00+00:00,above,2025-11-04 16:05:00+00:00,2025-11-04 16:05:00+00:00,2025-11-04 16:10:00+00:00,624.21,breakout_reentry_v1,626.3885946428571,622.79935,621.3687,624.23,621.3687,622.79935,2.8613000000000284,8.634378571428556,0.013660262263366276,0.3313845896759918,0.3313845896759918,-0.013922288317934546,5647917.0,1.3604536495506372,,opposite_extreme,621.3687,624.1475790000001,2025-11-04 17:15:00+00:00,621.3687,621.43083687,take_profit,0.004171753007436308,0.004171753007436308,1.17931839486452,0.0001,0.0001,14
ny_equity_2025-11-10,ny_equity,2025-11-10,short,2025-11-10 14:45:00+00:00,above,2025-11-10 15:50:00+00:00,2025-11-10 15:50:00+00:00,2025-11-10 15:55:00+00:00,619.35,breakout_reentry_v1,623.6508267857143,619.96,618.56,621.36,618.56,619.96,2.800000000000068,9.163307142857125,0.01502822045930581,0.3055665336049214,0.3055665336049214,0.015055597467773067,5219964.0,1.1741283619735845,,midpoint,619.96,619.2880650000001,2025-11-10 15:55:00+00:00,619.96,620.0219960000001,take_profit,-0.0013837176821707375,-0.0013837176821707375,-0.16585535778470184,0.0001,0.0001,1
ny_equity_2025-11-10,ny_equity,2025-11-10,short,2025-11-10 14:45:00+00:00,above,2025-11-10 15:50:00+00:00,2025-11-10 15:50:00+00:00,2025-11-10 15:55:00+00:00,619.35,breakout_reentry_v1,623.6508267857143,619.96,618.56,621.36,618.56,619.96,2.800000000000068,9.163307142857125,0.01502822045930581,0.3055665336049214,0.3055665336049214,0.015055597467773067,5219964.0,1.1741283619735845,,opposite_extreme,618.56,619.2880650000001,2025-11-10 15:55:00+00:00,618.56,618.621856,take_profit,0.0008769244467174755,0.0008769244467174755,0.15055138978242705,0.0001,0.0001,1
ny_equity_2025-11-11,ny_equity,2025-11-11,long,2025-11-11 14:45:00+00:00,below,2025-11-11 14:55:00+00:00,2025-11-11 14:55:00+00:00,2025-11-11 15:00:00+00:00,621.06,breakout_reentry_v1,617.6597321428571,620.86,621.57,621.57,620.15,620.86,1.4200000000000728,9.961071428571406,0.01598297807963578,0.1425549460399488,0.1425549460399488,-0.004268087223015529,3485440.0,0.8003670890414242,,midpoint,620.86,621.1221059999999,2025-11-11 15:00:00+00:00,620.86,620.797914,take_profit,-0.0007219456800333866,-0.0007219456800333866,-0.09199180952109924,0.0001,0.0001,1
ny_equity_2025-11-11,ny_equity,2025-11-11,long,2025-11-11 14:45:00+00:00,below,2025-11-11 14:55:00+00:00,2025-11-11 14:55:00+00:00,2025-11-11 15:00:00+00:00,621.06,breakout_reentry_v1,617.6597321428571,620.86,621.57,621.57,620.15,620.86,1.4200000000000728,9.961071428571406,0.01598297807963578,0.1425549460399488,0.1425549460399488,-0.004268087223015529,3485440.0,0.8003670890414242,,opposite_extreme,621.57,621.1221059999999,2025-11-11 16:30:00+00:00,617.6597321428571,617.5979661696429,stop,-0.005873827732605385,-0.005873827732605385,-1.0,0.0001,0.0001,19
ny_equity_2025-11-17,ny_equity,2025-11-17,short,2025-11-17 14:45:00+00:00,above,2025-11-17 15:00:00+00:00,2025-11-17 15:00:00+00:00,2025-11-17 15:05:00+00:00,609.18,breakout_reentry_v1,613.7697321428572,608.2049999999999,605.24,611.17,605.24,608.2049999999999,5.92999999999995,10.398928571428574,0.017079342659114694,0.5702510560840697,0.5702510560840697,-0.004204579049371052,4611584.0,1.0551316916044096,,midpoint,608.2049999999999,609.1190819999999,2025-11-17 15:05:00+00:00,608.2049999999999,608.2658204999999,take_profit,0.0012027773240630203,0.0012027773240630203,0.1810816192228151,0.0001,0.0001,1
ny_equity_2025-11-17,ny_equity,2025-11-17,short,2025-11-17 14:45:00+00:00,above,2025-11-17 15:00:00+00:00,2025-11-17 15:00:00+00:00,2025-11-17 15:05:00+00:00,609.18,breakout_reentry_v1,613.7697321428572,608.2049999999999,605.24,611.17,605.24,608.2049999999999,5.92999999999995,10.398928571428574,0.017079342659114694,0.5702510560840697,0.5702510560840697,-0.004204579049371052,4611584.0,1.0551316916044096,,opposite_extreme,605.24,609.1190819999999,2025-11-17 16:15:00+00:00,605.24,605.300524,take_profit,0.006108532453872307,0.006108532453872307,0.8103854043997046,0.0001,0.0001,15
ny_equity_2025-11-18,ny_equity,2025-11-18,long,2025-11-18 14:45:00+00:00,below,2025-11-18 16:25:00+00:00,2025-11-18 16:25:00+00:00,2025-11-18 16:30:00+00:00,597.87,breakout_reentry_v1,595.1427678571429,600.0799999999999,602.31,602.31,597.85,600.0799999999999,4.459999999999923,10.82892857142858,0.01793878768086105,0.41185976715806777,0.41185976715806777,-0.006692509028260882,7004492.0,1.5990378139373729,,midpoint,600.0799999999999,597.929787,2025-11-18 17:25:00+00:00,595.1427678571429,595.0832535803571,stop,-0.0049606482927115,-0.0049606482927115,-1.0,0.0001,0.0001,12
ny_equity_2025-11-18,ny_equity,2025-11-18,long,2025-11-18 14:45:00+00:00,below,2025-11-18 16:25:00+00:00,2025-11-18 16:25:00+00:00,2025-11-18 16:30:00+00:00,597.87,breakout_reentry_v1,595.1427678571429,600.0799999999999,602.31,602.31,597.85,600.0799999999999,4.459999999999923,10.82892857142858,0.01793878768086105,0.41185976715806777,0.41185976715806777,-0.006692509028260882,7004492.0,1.5990378139373729,,opposite_extreme,602.31,597.929787,2025-11-18 17:25:00+00:00,595.1427678571429,595.0832535803571,stop,-0.0049606482927115,-0.0049606482927115,-1.0,0.0001,0.0001,12
